pais,tipo_inmueble,dormitorios,ventanas,habitantes_mayores,habitantes_menores,aire_acondicionado,calefaccion_electrica,agua_caliente_electrica,secarropas_electrico,horno_electrico,refrigerador,freezer,tv,tv_frecuencia,lavado_frecuencia,cantidad_equipos,uso_horario_pico,horas_alto_consumo,tarifa_kwh,consumo_kwh
MX,Departamento,4,8,5,2,1,1,1,0,1,1,0,0,0.0,3.3930537181115716,5,1,11.7,1.2,708.5
US,Otro,5,12,8,2,0,0,1,0,0,1,1,1,15.763933935391616,2.2191173807168836,4,0,4.0,0.16,547.6
HN,Departamento,2,4,3,0,0,0,1,0,1,1,0,2,24.463221475430636,1.7901016435389412,5,0,4.0,3.5,366.0
HN,Casa,0,4,1,0,0,1,0,0,1,1,0,2,9.59413947487567,0.0,5,0,3.3,3.5,254.2
PY,Casa,4,11,3,1,1,0,0,0,1,1,1,2,2.693283944927817,3.2465860544659533,6,1,4.4,185.0,352.8
CU,Casa,1,5,1,0,1,0,0,0,1,1,0,2,16.576590613361176,2.8776183454723183,5,0,4.4,0.09,243.3
BR,Casa pareada,2,7,5,0,1,0,1,0,0,1,0,2,32.51725008565195,2.218015622044073,5,1,8.4,0.75,523.9
NI,Casa,3,7,2,2,1,0,1,1,1,1,0,2,31.129658916602637,2.6324090232139463,7,1,8.4,7.5,534.7
CR,Departamento,2,7,1,1,0,0,1,1,0,1,0,2,4.365220521313116,4.028623552911993,5,0,4.0,145.0,323.5
SV,Casa,2,4,1,0,1,0,0,1,0,1,1,1,18.12329009071548,3.4172155896819403,5,0,4.4,0.19,293.2
JM,Casa,1,1,1,0,0,1,0,0,0,1,0,2,25.16297572101451,2.4424249551214574,4,0,3.3,0.35,247.8
PR,Casa pareada,4,11,5,2,1,1,1,0,1,1,0,2,37.28995340885703,5.038830900443418,7,1,11.7,0.22,748.6
MX,Casa,3,8,1,1,0,1,1,0,0,1,0,3,17.970860152044523,1.3763592039175698,6,1,7.3,1.2,440.4
BR,Casa,3,10,3,1,1,0,0,0,0,1,0,3,7.557941211391306,2.521340104483653,5,1,4.4,0.75,283.0
UY,Departamento,0,1,2,0,0,0,0,1,0,1,1,3,23.181894876745783,1.2568807308985694,6,0,0.0,8.5,217.8
PY,Casa,4,12,6,3,0,1,0,0,0,1,0,1,51.78853679367535,4.276928362267183,3,1,3.3,185.0,450.5
JM,Casa,3,8,3,0,1,0,1,0,1,1,0,3,13.064938354277192,4.246547786501962,7,1,8.4,0.35,492.5
MX,Otro,2,7,1,0,0,0,1,0,1,1,0,3,29.476496098482997,1.3333426486236628,6,0,4.0,1.2,321.5
GT,Casa,1,6,1,0,0,1,0,0,0,1,0,1,30.493396105434073,1.985974041477947,3,0,3.3,1.7,236.7
HN,Casa,2,5,3,1,1,1,0,1,1,1,0,2,31.57507758021134,5.154452634844937,7,1,7.7,3.5,529.4
UY,Casa,2,5,1,2,0,0,0,0,1,1,0,2,36.47393997603329,3.4644301228637504,4,0,0.0,8.5,173.3
CR,Casa,2,6,1,0,1,0,0,0,0,1,0,3,0.0,0.41480488889187317,5,0,4.4,145.0,187.2
VE,Casa,4,14,1,1,0,0,1,0,1,1,1,4,17.441679286591768,1.886711859003845,8,0,4.0,0.01,376.3
BO,Casa,1,1,3,0,0,0,0,0,0,1,1,2,23.74386451706263,3.947972225642093,4,0,0.0,0.6,209.2
EC,Departamento,4,10,6,1,0,0,0,0,0,1,0,2,20.02993291199956,3.5103149653025065,3,0,0.0,0.1,264.5
US,Casa,3,10,1,0,0,0,1,0,1,1,1,1,23.398753611927038,3.4740718059664295,5,0,4.0,0.16,346.3
BO,Casa,3,6,5,1,1,0,0,0,1,1,0,1,29.73894128217401,4.047849518057258,4,1,4.4,0.6,381.2
DO,Departamento,2,6,8,0,1,1,0,0,1,1,0,1,19.39748153598713,1.392056171564671,5,1,7.7,12.5,588.9
BO,Departamento,4,10,2,2,0,0,0,0,1,1,0,1,21.103957256122186,2.3875002557599965,3,0,0.0,0.6,176.0
PE,Casa,1,5,2,0,0,0,0,0,1,1,0,1,31.30099316404514,3.9211487656689354,3,0,0.0,0.62,156.9
PR,Casa,3,7,5,2,1,0,1,1,0,1,1,0,0.0,1.8752799925732238,5,1,8.4,0.22,608.1
SV,Casa,3,6,2,2,1,0,0,0,0,1,0,2,0.0,0.0,4,1,4.4,0.19,245.4
BO,Casa,3,10,1,0,0,0,0,1,0,1,0,3,34.72953572189574,0.0,5,0,0.0,0.6,152.4
MX,Casa,3,7,4,1,0,0,1,0,0,1,0,2,23.662095977839375,3.626207938113022,4,0,4.0,1.2,388.1
PY,Departamento,3,5,1,0,0,0,1,0,0,1,0,1,39.33793485188187,5.940726901174541,3,0,4.0,185.0,288.9
MX,Casa pareada,2,5,1,0,1,1,0,0,1,1,0,1,28.867590544047385,2.2663837978216144,5,0,7.7,1.2,386.7
PE,Departamento,4,5,1,0,1,0,0,0,0,0,1,2,27.287142340743458,2.1350290616494605,4,0,4.4,0.62,227.8
CR,Departamento,1,4,4,0,0,1,1,1,1,1,0,1,14.690234954442852,4.5673092186816415,6,1,7.3,145.0,581.2
GT,Casa pareada,4,8,4,2,1,0,1,1,0,1,0,2,19.504411624484174,2.826751681051598,6,1,8.4,1.7,555.6
NI,Casa,3,8,1,1,0,1,1,0,0,1,0,3,0.0,4.193757982829661,6,1,7.3,7.5,427.5
GT,Departamento,3,7,4,0,0,0,0,0,0,1,0,3,0.0,3.921405657535596,4,0,0.0,1.7,172.8
PY,Casa,5,13,4,2,0,1,0,0,0,1,0,1,4.3711565466015045,3.343155043393407,3,1,3.3,185.0,351.4
CO,Casa,3,4,1,0,1,0,0,0,0,1,0,3,17.861954419095092,1.8031758545722574,5,0,4.4,820.0,218.0
BO,Casa,3,7,2,1,1,0,0,1,1,1,1,2,14.92894719571758,2.384490039982336,7,1,4.4,0.6,369.5
HT,Casa,2,5,1,1,1,0,1,0,0,1,0,3,3.947287528674323,2.9635539243437767,6,1,8.4,0.14,400.3
NI,Casa,3,8,5,0,1,1,0,0,0,1,1,1,1.2878188393901304,5.793476342092321,5,1,7.7,7.5,524.6
CO,Casa,3,7,3,0,1,0,0,0,0,1,0,2,4.320695835695014,4.891405985344477,4,1,4.4,820.0,271.5
UY,Casa,2,8,4,0,0,0,0,1,0,1,0,1,11.318065693592201,0.5468051273132133,3,0,0.0,8.5,203.9
HN,Casa,3,5,4,0,1,0,1,0,0,1,0,1,25.098982484765358,2.842163798623693,4,1,8.4,3.5,478.9
SV,Casa,3,9,6,0,0,0,0,1,0,1,1,2,0.0,2.713859309498177,5,0,0.0,0.19,312.3
ES,Casa,1,7,1,0,1,0,0,0,0,1,0,2,23.28367972831538,3.268111444929491,4,0,4.4,0.27,220.6
EC,Casa,3,5,1,1,0,0,0,1,1,1,0,2,0.0,2.935299615538639,5,0,0.0,0.1,163.7
GT,Casa,2,2,1,0,1,0,0,0,0,1,0,2,17.658744627170876,2.717423809103425,4,0,4.4,1.7,213.5
SV,Casa pareada,1,1,1,0,0,0,0,0,0,1,0,3,3.1265230558664854,1.6046029690949237,4,0,0.0,0.19,79.0
JM,Casa pareada,4,11,3,2,1,1,1,0,1,1,0,1,27.715332597619195,4.213681966485366,6,1,11.7,0.35,664.5
BR,Casa,1,2,2,0,0,1,0,0,1,1,0,1,5.464007200683692,1.1064160517142518,4,1,3.3,0.75,282.4
GT,Departamento,3,7,1,0,0,1,1,0,1,1,1,2,6.135577467298068,0.8850454453741863,7,0,7.3,1.7,479.7
DO,Casa,5,11,6,1,0,1,0,0,0,1,0,1,20.785987061150372,1.9828927072597513,3,1,3.3,12.5,397.5
GT,Casa,2,6,2,0,0,1,0,0,0,1,1,3,7.801242551584783,1.7538451775919963,6,1,3.3,1.7,308.8
SV,Casa,3,5,8,0,0,0,0,0,0,1,0,3,16.143700184768388,2.64533037005323,4,0,0.0,0.19,310.1
HT,Casa,3,8,8,0,1,0,1,0,0,1,0,1,29.885318628514625,3.5467875569892033,4,1,8.4,0.14,604.0
NI,Casa,2,4,3,0,1,0,0,1,0,1,0,3,21.784251975241027,1.1264100439829208,6,1,4.4,7.5,320.2
AR,Departamento,3,5,1,0,0,0,0,0,0,1,0,1,18.360464999730034,2.128559717202775,2,0,0.0,85.0,83.6
UY,Casa pareada,1,1,4,0,1,1,1,0,1,1,0,2,20.732753145856964,3.0562848485093976,7,1,11.7,8.5,666.1
SV,Departamento,3,6,3,1,1,1,1,0,1,1,0,1,23.138190201071218,2.262378870404798,6,1,11.7,0.19,639.2
ES,Casa,4,10,3,2,0,0,0,1,1,1,1,1,10.822464625824859,7.214353455144588,5,0,0.0,0.27,306.1
PA,Casa,4,11,6,2,0,0,0,0,0,1,0,1,30.155152164829296,0.5124966516266323,2,0,0.0,0.17,261.7
CL,Departamento,3,6,1,1,1,0,1,0,1,1,0,3,19.99436902877041,3.0595402898963426,7,1,8.4,150.0,451.2
ES,Otro,5,13,2,1,0,0,0,0,0,1,0,3,26.737943936677578,4.290794561942168,4,0,0.0,0.27,165.6
JM,Casa,4,12,4,2,1,0,1,1,0,1,0,3,8.816941827934562,2.423174834973125,7,1,8.4,0.35,549.2
DO,Casa,1,5,1,0,1,0,1,0,1,1,0,2,34.12513069961006,4.5361482597615375,6,0,8.4,12.5,445.3
CU,Casa,1,5,2,0,0,0,0,0,0,1,0,1,3.739155113734835,4.0872820073343,2,0,0.0,0.09,115.8
CR,Casa,3,8,1,0,0,0,0,0,1,1,0,1,17.33586465924823,2.1276090985775924,3,0,0.0,145.0,113.3
BO,Departamento,1,5,2,0,1,0,0,1,0,0,0,4,25.09820707776118,3.827788157296938,6,1,4.4,0.6,281.3
PA,Departamento,3,10,3,1,0,0,0,0,0,1,0,1,2.8083886612395332,2.394611822220999,2,0,0.0,0.17,153.2
HT,Casa,2,3,3,0,1,0,0,1,1,1,0,1,40.00963101590153,3.084617350754356,5,1,4.4,0.14,346.5
BR,Casa,2,6,5,0,0,1,1,0,1,1,1,2,27.96544030519997,2.646248634278728,7,1,7.3,0.75,625.7
BR,Casa,3,11,2,0,0,0,0,0,0,1,1,2,12.327829314693597,1.7905772689729738,4,0,0.0,0.75,160.2
AR,Departamento,3,8,1,2,0,0,0,1,1,1,1,1,31.226782545637384,2.85870813697375,5,0,0.0,85.0,237.0
BO,Casa,2,9,3,0,1,0,1,0,0,1,0,1,19.302012142378622,0.9997885218986982,4,1,8.4,0.6,438.6
DO,Casa pareada,2,5,4,0,0,1,0,1,0,1,0,1,39.1644487673541,1.8548410240340092,4,1,3.3,12.5,369.9
UY,Casa,3,13,3,1,0,1,0,0,0,1,0,4,37.22359941995649,3.4092937770386595,6,1,3.3,8.5,370.2
EC,Casa,3,7,2,1,1,1,1,1,1,1,0,2,0.0,1.6273130107807483,8,1,11.7,0.1,636.0
PE,Departamento,2,7,5,1,0,0,0,0,1,1,1,4,22.566587307122617,0.42827115675581773,7,0,0.0,0.62,318.8
HT,Casa,0,1,3,0,1,0,1,0,1,1,0,3,21.075341800536343,3.322647203728554,7,1,8.4,0.14,498.7
BO,Casa,3,12,2,0,0,0,0,0,0,1,0,3,16.484752648567067,3.373400865594987,4,0,0.0,0.6,133.6
PE,Departamento,4,8,3,2,0,1,0,0,0,1,0,3,26.00959284699897,3.498798469646461,5,1,3.3,0.62,354.8
PA,Casa,2,8,1,1,0,0,1,1,0,1,0,1,9.224167523962874,2.5505204039169516,4,0,4.0,0.17,316.6
PY,Casa,4,9,2,0,1,0,1,0,0,1,1,1,40.109261124005144,3.8234743111153664,5,1,8.4,185.0,474.2
EC,Departamento,2,5,1,0,0,0,1,0,0,1,0,4,17.056522764727504,2.315765705826963,6,0,4.0,0.1,287.8
GT,Casa,1,7,3,0,0,1,0,0,0,1,0,2,20.85993480747625,1.8089346874517198,4,1,3.3,1.7,301.4
PR,Casa,3,5,3,0,0,1,1,0,0,1,0,4,11.940063911682024,0.9094912734507425,7,1,7.3,0.22,481.5
DO,Otro,2,5,1,1,0,0,0,0,0,1,0,2,22.46683149610744,4.626879587195767,3,0,0.0,12.5,121.3
CU,Otro,1,4,1,0,1,1,0,0,0,1,1,2,29.083932972673047,3.190300464443764,6,0,7.7,0.09,418.3
GT,Casa,2,6,2,0,0,1,0,0,0,1,0,1,24.466615152789032,4.712221152154827,3,1,3.3,1.7,275.8
HN,Departamento,3,7,1,1,1,0,1,0,1,1,0,2,32.910290551841356,3.3921306190949525,6,1,8.4,3.5,454.4
ES,Casa,1,3,3,0,0,0,0,0,1,1,0,1,25.167028186484664,0.0,3,0,0.0,0.27,167.5
PA,Otro,3,7,2,0,0,0,1,0,1,1,0,1,18.1141386699399,4.217603564994753,4,0,4.0,0.17,332.6
CU,Casa,2,7,1,0,0,0,0,0,1,1,0,1,35.713358160823674,5.35499772749842,3,0,0.0,0.09,134.9
JM,Departamento,3,7,1,0,1,0,1,1,0,1,0,2,25.044446476624685,1.9514672203441104,6,0,8.4,0.35,436.5
UY,Departamento,3,7,6,1,0,1,1,0,0,1,1,2,13.557917496135516,3.883054917322726,6,1,7.3,8.5,633.7
DO,Casa,3,7,4,0,0,0,1,0,1,1,0,2,12.550170612743585,2.051871265786634,5,0,4.0,12.5,387.0
CR,Departamento,4,12,3,0,0,0,0,1,1,1,0,2,17.57380952599726,1.562982598948156,5,0,0.0,145.0,219.2
PE,Departamento,5,13,3,2,0,1,0,0,0,1,1,4,11.724157592653386,2.384199017977478,7,1,3.3,0.62,382.1
BO,Casa pareada,2,3,1,0,0,1,1,0,1,1,0,1,20.16129415276004,2.308460579128743,5,0,7.3,0.6,443.8
CO,Casa,4,9,5,3,0,0,0,0,1,1,0,4,12.982330537332174,4.148933179089349,6,0,0.0,820.0,303.8
PY,Otro,3,8,4,0,0,1,0,0,0,1,0,2,13.98539188440994,5.56015146062846,4,1,3.3,185.0,341.6
DO,Casa,0,3,2,0,0,0,0,1,0,1,0,1,26.823925098127926,2.8949807117807995,3,0,0.0,12.5,160.6
PR,Casa,2,6,1,0,0,0,1,0,0,1,0,4,24.802411525117666,3.611592554427058,6,0,4.0,0.22,306.4
US,Casa pareada,3,12,1,0,1,0,1,0,0,1,0,1,0.0,4.259352136161378,4,0,8.4,0.16,383.6
HN,Departamento,4,14,7,1,1,0,0,0,0,1,0,1,33.723423428665185,1.5133405266189743,3,1,4.4,3.5,401.9
HN,Casa pareada,3,10,8,2,0,0,1,1,0,1,0,1,11.025070291453376,1.5107297882490904,4,0,4.0,3.5,537.9
BR,Departamento,1,2,2,0,0,0,0,0,0,1,0,1,13.169081984148253,5.306036327846703,2,0,0.0,0.75,125.0
CO,Casa,2,4,3,0,0,0,0,0,1,1,1,2,26.642923020556356,2.1222173266094826,5,0,0.0,820.0,233.9
GT,Departamento,2,6,4,0,0,1,1,1,0,1,0,4,22.681627809553163,1.5741956892213866,8,1,7.3,1.7,572.7
GT,Departamento,2,6,1,1,0,0,1,0,0,1,0,2,17.60382844565353,3.548231017557757,4,0,4.0,1.7,292.6
CU,Departamento,3,6,2,1,1,1,0,1,1,1,0,1,19.3668014028904,2.4514248215306864,6,1,7.7,0.09,468.5
PR,Casa,3,9,3,0,0,0,0,0,0,1,0,3,27.065325128978273,2.887846617652908,4,0,0.0,0.22,175.0
PY,Otro,3,5,2,0,0,0,1,0,0,1,0,2,38.41255614426905,1.1033544582341794,4,0,4.0,185.0,314.8
HN,Casa,4,11,6,0,1,1,1,0,1,1,1,3,9.479992806471518,3.587244056022161,9,1,11.7,3.5,768.2
SV,Departamento,3,6,4,1,0,0,0,1,0,1,0,2,27.698959812747646,4.451588080169211,4,0,0.0,0.19,255.1
US,Casa,3,5,2,1,1,1,0,1,1,1,0,2,14.233015110724978,2.3257748553454434,7,1,7.7,0.16,472.5
CU,Casa,3,6,5,1,0,1,0,0,0,1,0,2,22.783329395705042,0.935935002640278,4,1,3.3,0.09,374.3
ES,Departamento,2,3,1,0,0,0,0,1,1,1,1,1,18.837333546896343,5.763225987852396,5,0,0.0,0.27,214.2
PR,Casa,3,7,3,1,0,1,0,0,0,1,1,3,13.354133277414032,1.432105827902289,6,1,3.3,0.22,359.4
CO,Departamento,3,6,2,1,0,1,1,0,1,1,0,2,50.595312289968234,1.3708896260812815,6,1,7.3,820.0,519.8
DO,Casa,2,2,4,0,1,0,1,0,1,1,0,1,27.52383732712678,4.711219184042071,5,1,8.4,12.5,518.1
CU,Departamento,3,7,3,0,1,0,0,0,1,1,0,2,28.085477496020182,2.1593267853084406,5,1,4.4,0.09,310.0
MX,Casa,1,6,2,0,0,0,0,0,0,1,0,1,39.44597792260228,5.3638804328180845,2,0,0.0,1.2,136.4
AR,Departamento,1,1,1,0,0,0,1,0,0,1,0,1,28.69675756694491,4.767277279225777,3,0,4.0,85.0,279.3
BO,Casa,3,10,2,2,0,1,0,0,0,1,0,4,8.303239989755811,4.132292838711065,6,1,3.3,0.6,309.2
ES,Casa,3,11,3,0,0,0,0,1,1,1,0,2,40.314001647785034,2.951288514123817,5,0,0.0,0.27,244.5
NI,Casa,3,7,6,2,1,0,0,0,0,1,1,1,22.219827776762713,5.075580541789499,4,1,4.4,7.5,441.9
BO,Departamento,4,12,3,2,0,0,0,0,1,1,0,1,27.39631204986562,6.539657901494418,3,0,0.0,0.6,226.5
ES,Otro,3,8,2,1,0,0,0,0,0,1,1,2,20.132366728016702,4.103600040420246,4,0,0.0,0.27,191.8
MX,Casa,3,7,4,1,0,0,0,0,1,1,0,1,24.853032830631406,3.784265641123546,3,0,0.0,1.2,228.6
AR,Casa,2,5,1,0,0,0,0,0,1,1,0,3,44.718090760554695,3.255762279029474,5,0,0.0,85.0,169.1
SV,Casa,2,2,2,1,0,0,1,1,0,1,1,1,8.911970250619607,3.3441905466876447,5,0,4.0,0.19,394.5
US,Casa,4,8,4,2,1,0,0,0,0,0,0,1,27.811812052237418,4.578966626423342,2,1,4.4,0.16,301.5
CL,Departamento,4,12,2,0,0,0,1,0,1,1,0,2,23.33549011636205,3.2782699598771154,5,0,4.0,150.0,341.4
DO,Departamento,1,5,1,0,0,0,0,0,0,1,1,1,14.73493303483885,1.312605967346768,3,0,0.0,12.5,123.2
UY,Casa,3,8,3,0,1,1,0,0,0,1,0,2,24.184990745503846,2.7989591687859514,5,1,7.7,8.5,427.9
CU,Casa,2,4,1,0,1,0,1,0,1,1,0,3,10.822910254997405,1.2174167181025957,7,0,8.4,0.09,416.6
CR,Casa,4,8,5,0,1,0,0,1,1,1,1,2,6.379491691473477,0.866922350789801,7,1,4.4,145.0,430.8
CO,Casa,3,10,4,2,0,0,1,0,1,1,1,1,20.412060667816196,2.907726480593044,5,0,4.0,820.0,462.6
BO,Casa,2,8,3,0,0,0,0,1,0,1,0,4,7.0199157585854,3.9233779317919324,6,0,0.0,0.6,197.7
JM,Departamento,0,3,1,0,0,0,0,0,1,1,1,1,22.595417655715384,3.3873692804958404,4,0,0.0,0.35,165.6
BO,Casa,4,10,5,1,1,0,1,0,0,1,0,1,15.095378393062894,3.5927142285475884,4,1,8.4,0.6,522.9
PR,Casa,3,5,5,0,1,0,1,0,0,1,0,1,12.594841794988803,4.513649705601008,4,1,8.4,0.22,510.8
PA,Casa pareada,2,7,2,0,1,0,1,0,1,1,0,2,29.39420421798181,4.463984924723762,6,1,8.4,0.17,471.0
GT,Casa,4,10,5,0,0,0,1,0,0,1,1,2,21.655154620167625,4.1682445756815465,5,0,4.0,1.7,448.3
PR,Casa,4,9,5,1,1,1,1,0,0,1,0,3,5.317362401311527,2.6514491409348433,7,1,11.7,0.22,669.2
BO,Departamento,1,4,1,0,0,0,0,0,0,1,1,2,9.804154918325569,3.2484182253489777,4,0,0.0,0.6,134.3
CL,Otro,2,6,1,0,1,0,0,0,0,1,0,0,0.0,2.087628079201324,2,0,4.4,150.0,194.3
NI,Casa,3,6,2,1,1,1,0,0,0,1,0,4,12.043211583294136,1.4293624188503182,7,1,7.7,7.5,408.3
CR,Casa,3,11,6,2,1,0,0,1,0,1,1,3,8.94164817847882,3.098298871245076,7,1,4.4,145.0,476.9
PR,Casa,4,15,2,2,0,0,1,0,0,0,0,3,21.071550728393234,1.0811190417371002,4,0,4.0,0.22,303.6
MX,Departamento,3,8,2,0,0,1,1,0,0,1,1,2,27.04190345123167,5.911300408772803,6,1,7.3,1.2,518.9
DO,Casa,2,5,1,0,0,0,1,0,0,1,0,1,1.040148008539358,5.131613907104676,3,0,4.0,12.5,269.1
CR,Casa,3,7,5,1,1,0,0,0,0,1,0,3,17.62740280902598,1.1814475604104113,5,1,4.4,145.0,350.1
AR,Departamento,2,5,2,1,0,0,0,0,0,1,0,3,24.477150300950683,3.8188182566087177,4,0,0.0,85.0,160.7
EC,Casa,1,6,1,0,0,0,0,0,1,1,0,1,12.726322593408682,3.060504608332036,3,0,0.0,0.1,115.3
HN,Departamento,2,3,1,0,0,0,0,0,1,1,0,4,29.375229217497576,2.497601944089589,6,0,0.0,3.5,159.5
BO,Departamento,3,10,4,0,0,0,0,1,0,1,0,2,17.884533969194713,3.6146268294349344,4,0,0.0,0.6,228.2
GT,Casa,1,4,1,0,0,0,1,0,1,1,0,1,27.25707983318722,4.177431433031877,4,0,4.0,1.7,306.3
CO,Casa,4,11,1,3,1,1,1,0,1,1,0,1,14.52995279155005,2.925614538177091,6,1,11.7,820.0,608.4
SV,Departamento,3,6,1,1,0,1,1,0,0,1,0,1,3.52222858895529,5.202122733997946,4,1,7.3,0.19,434.0
CR,Otro,2,2,1,0,0,0,1,1,1,1,0,3,30.520748860237426,2.9041941223132612,7,0,4.0,145.0,369.6
HN,Casa,3,10,7,1,0,0,1,0,0,1,0,2,34.2309514951162,2.4104205936209557,4,0,4.0,3.5,481.8
JM,Casa,3,11,3,1,0,1,0,0,1,1,0,2,20.095522862568465,1.3491520004547723,5,1,3.3,0.35,343.9
DO,Departamento,2,9,2,1,1,1,0,0,1,1,0,4,9.498278803192896,3.4016612962387667,8,1,7.7,12.5,442.6
NI,Casa,2,8,1,2,0,1,0,0,0,1,0,2,12.18808973852994,3.783540320751703,4,1,3.3,7.5,272.5
BR,Departamento,1,5,3,0,1,1,1,0,1,1,1,2,20.462032758149537,4.044617836234154,8,1,11.7,0.75,684.8
NI,Casa,1,5,1,0,0,0,1,0,0,1,0,2,15.119800984380655,5.31667421717801,4,0,4.0,7.5,283.1
AR,Otro,2,5,3,0,0,1,0,0,1,1,0,2,17.725793692443435,2.254912945809442,5,1,3.3,85.0,330.7
PA,Departamento,3,8,3,0,0,0,0,1,0,1,0,1,6.561010883086665,3.630543188763936,3,0,0.0,0.17,185.1
UY,Casa pareada,2,6,3,0,0,1,1,1,0,1,1,4,15.071310521755985,2.2846739654500827,9,1,7.3,8.5,577.5
HN,Departamento,3,7,2,3,0,0,0,0,0,1,0,1,24.03376242526725,3.401310429189831,2,0,0.0,3.5,166.5
MX,Casa pareada,3,9,5,1,0,0,1,0,0,1,0,2,8.747764896201652,1.5487648839371482,4,0,4.0,1.2,396.5
UY,Casa,2,3,3,1,0,1,0,0,1,1,0,1,11.891110561914113,3.886659771645835,4,1,3.3,8.5,342.0
AR,Casa,3,8,2,0,1,0,0,0,0,1,0,4,24.17370803031829,5.496349877246457,6,1,4.4,85.0,282.9
VE,Casa,1,1,1,0,1,0,1,0,1,1,1,2,34.06615533650644,3.4855783433685974,7,0,8.4,0.01,485.4
PY,Otro,1,2,1,0,0,1,0,0,1,1,1,1,4.015014679867171,0.9478157306200425,5,0,3.3,185.0,295.7
JM,Casa,2,2,1,0,1,1,0,0,1,1,0,3,44.224479010834955,2.286376321031074,7,0,7.7,0.35,432.2
